field_1,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword,is_heat_related,field_25,geometry,BG1,BG2,BG3,BG4,BG5,BG6,weight1,weight2,weight3,weight4,weight5,weight6,bot_score,VADAR_sentiment
,12889,27885,27885,1029,https://twitter.com/jeffscaless/status/1532927531606847488,@jeffscaless,2022-06-04T03:29:38.000Z,We in a music drought bad.,,1,30.290142420046767,-97.86545532,1654331378,2022,6,4,3,29,38,True,drought,,,,484530023132,484530023073.0,484530023071.0,,,,0.9951886289446524,0.004644553,0.000166818,,,,0.0,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5423}"
,12977,45692,45692,18,https://twitter.com/oldsheepdog_ay/status/1533068683987279873,@oldsheepdog_ay,2022-06-04T12:50:31.000Z,"Made it home safely and slightly damp 
That second mile though. 
#fuweather",,,30.184182735542706,-97.82169684,1654365031,2022,6,4,12,50,31,True,weather,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.6,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}"
,13130,46615,46615,521,https://twitter.com/chuchukian/status/1533172866627387392,@chuchukian,2022-06-04T19:44:31.000Z,it’s sort of hot out,,2,30.22837634772502,-97.81937041,1654389871,2022,6,4,19,44,31,True,hot,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,1.2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
,13166,27879,27879,1023,https://twitter.com/kennyvaccaro/status/1533197596184956930,@kennyvaccaro,2022-06-04T21:22:47.000Z,Lmao I said “It’s hot AF” at the end. https://twitter.com/JamieBarriento/status/1532913996491276289…,,27,30.290142420046767,-97.86545532,1654395767,2022,6,4,21,22,47,True,hot,,,,484530321002,484530321001.0,,,,,0.9613626698852328,0.0386373301147715,,,,,0.1,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.5994}"
,13184,364530,364530,679,https://twitter.com/TexasFanFirst/status/1533208578059911170,@TexasFanFirst,2022-06-04T22:06:25.000Z,"We encourage you to stay hydrated and seek shade when needed. 

 #HookEm",,4,30.27986256639949,-97.72871868,1654398385,2022,6,4,22,6,25,True,shade,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.3,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}"
,13233,364517,364517,666,https://twitter.com/ZachAtTheDisch/status/1533234121811582979,@ZachAtTheDisch,2022-06-04T23:47:55.000Z,"Brief Ump show in Austin as 
@TFaltine
 gets pegged (3rd Texas batter of the game) and tempers are hot. Both coaches are nearly tossed.

#HookEm 
#RoadToOmaha",,6,30.27986256639949,-97.72871868,1654404475,2022,6,4,23,47,55,True,hot,,,,484530463001,,,,,,1.0000000000000002,,,,,,0.4,"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3182}"
,13281,364503,364503,652,https://twitter.com/18anniee/status/1533259428119691267,@18anniee,2022-06-05T01:28:28.000Z,Sweating both because it’s hot and because Texas sports just have to be stressful. LET’S GO BOYS!!! ,,5,30.27986256639949,-97.72871868,1654410508,2022,6,5,1,28,28,True,hot,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.2,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.6341}"
,13385,299093,299093,3941,https://twitter.com/Mary_Wasson/status/1533425892046905344,@Mary_Wasson,2022-06-05T12:29:56.000Z,"Thanks Aunt Joy for inviting us to cool off at her pool this weekend!   More triple digit heat is expected this week in Texas. #txwx #texas #pooldays #beatingtheheat @ Austin, Texas https://instagram.com/p/CebHN-judnl/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281,1654450196,2022,6,5,12,29,56,True,heat,,,,484530424003,,,,,,1.0000000000000002,,,,,,0.3,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.8908}"
,13388,320598,320598,23,https://twitter.com/MakeItRainShane/status/1533428089769840640,@MakeItRainShane,2022-06-05T12:38:40.000Z,Sunday sunrise selfie!  Join us live on KVUE now until 9 a.m. for a look at your toasty forecast and local news headlines!,,50,30.36569315929805,-97.74022563,1654450720,2022,6,5,12,38,40,True,toast,,,,484530454003,,,,,,1.0000000000000002,,,,,,0.3,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4184}"
,13401,337120,337120,378,https://twitter.com/whiskeydynamite/status/1533452418226216961,@whiskeydynamite,2022-06-05T14:15:21.000Z,Went to queerbomb last night and it was truly wonderful seeing so much queer joy but alas this was my energy level because Texas is hot and I’m in my mid-thirties,,18,30.262807808898213,-97.73794042,1654456521,2022,6,5,14,15,21,True,hot,,,,484530023043,484530023163.0,484530023161.0,,,,0.9465961331450516,0.053016526,0.000387341,,,,0.3,"{'neg': 0.069, 'neu': 0.682, 'pos': 0.249, 'compound': 0.7033}"
